Compound_Name,smiles,Steric,InChIKey
alle_1,Brc1nc2ccccc2[nH]1,29.70764,PHPYXVIHDRDPDI-UHFFFAOYSA-N
alle_1000,BrC1=CSC=N1,29.79555,VDTIGYKLTROQAH-UHFFFAOYSA-N
alle_114,Brc1cccc2ncccc12,33.50697,CHODTZCXWXCALP-UHFFFAOYSA-N
alle_116,COc1ccc(Br)cc1F,30.54109,DWNXGZBXFDNKOR-UHFFFAOYSA-N
alle_117,Brc1cccc2cccnc12,32.35122,PIWNKSHCLTZKSZ-UHFFFAOYSA-N
alle_123,COc1ccc(Br)cc1OC,30.46132,KBTMGSMZIKLAHN-UHFFFAOYSA-N
alle_13,COc1cccc(Br)c1,30.58015,PLDWAJLZAAHOGG-UHFFFAOYSA-N
alle_140,Fc1cccc(Br)c1,30.64364,QDFKKJYEIFBEFC-UHFFFAOYSA-N
alle_144,Fc1cccc(Br)n1,30.0267,ZIDIKYIZXMYHAW-UHFFFAOYSA-N
alle_151,COc1cccc(Br)n1,29.91275,KMODISUYWZPVGV-UHFFFAOYSA-N
alle_153,CCc1ccc(Br)cc1,30.49062,URFPRAHGGBYNPW-UHFFFAOYSA-N
alle_169,Brc1cccc(Oc2ccccc2)c1,30.57039,AHDAKFFMKLQPTD-UHFFFAOYSA-N
alle_170,Cc1cc(F)ccc1Br,33.45976,RJPNVPITBYXBNB-UHFFFAOYSA-N
alle_178,Cc1ccccc1Br,33.51022,QSSXJPIWXQTSIX-UHFFFAOYSA-N
alle_184,Cc1ccc2ccccc2c1Br,37.0784,CMIMBQIBIZZZHQ-UHFFFAOYSA-N
alle_188,CCc1ccccc1Br,33.94973,HVRUGFJYCAFAAN-UHFFFAOYSA-N
alle_190,Fc1ccc(F)c(Br)c1,31.89217,XCRCSPKQEDMVBO-UHFFFAOYSA-N
alle_195,Cc1ccc(C)c(Br)c1,33.48743,QXISTPDUYKNPLU-UHFFFAOYSA-N
alle_20,N#Cc1ccc(Br)cc1,30.72015,HQSCPPCMBMFJJN-UHFFFAOYSA-N
alle_27,Brc1ccccn1,29.94531,IMRWILPUOVGIMU-UHFFFAOYSA-N
alle_28,Brc1ncccn1,29.60021,PGFIHORVILKHIA-UHFFFAOYSA-N
alle_340,COc1ccc2nc(Br)sc2c1,30.09018,YNONWDJSSPJFBQ-UHFFFAOYSA-N
alle_41,Brc1cccc2ccccc12,33.71858,DLKQHBOKULLWDQ-UHFFFAOYSA-N
alle_7,Fc1ccc(Br)cc1,30.60945,AITNMTXHTIIIBB-UHFFFAOYSA-N
alle_2001,FC(F)(C1=C(Br)C=C(OCC2=CC=CC=C2)C=C1)F,35.35128,DCNCLHCFZSJTEU-UHFFFAOYSA-N
alle_2002,BrC(C=CC(C1=C2C=CC=C1)=C34)=C3C=CC=C4C2=O,33.86183,WVECFEIAZAKUNF-UHFFFAOYSA-N
alle_2003,FC1=C(C#N)C=CC(Br)=C1,30.75433,HGXWRDPQFZKOLZ-UHFFFAOYSA-N
alle_2004,BrC1=C2C=CC=CC2=C3C=CC=CC3=C1,33.93997,RSQXKVWKJVUZDG-UHFFFAOYSA-N
alle_2005,BrC1=CC=C(C(C2=CC=CC=C2)=O)C=C1,30.58829,KEOLYBMGRQYQTN-UHFFFAOYSA-N
alle_2006,CC(C)(C1=CC(C(C)(C)C)=CC(Br)=C1)C,30.57364,BUOWTUULDKULFI-UHFFFAOYSA-N
alle_2007,BrC1=C(CN2CCOCC2)C=CC=C1,33.80486,RFCVOGXWQWZLPA-UHFFFAOYSA-N
alle_2008,CC1=CC=C(C2=CC=C(Br)C=C2)C=C1,30.56876,MYWLXURJCXISCT-UHFFFAOYSA-N
alle_2009,CCOC1=C(OC)C=C(C#N)C(Br)=C1,32.89491,DQVRTBPRKJRONY-UHFFFAOYSA-N
alle_2010,CC1=CC(C)=C(Br)C(C)=C1,36.7919,RRTLQRYOJOSPEA-UHFFFAOYSA-N
alle_2011,CCCCOC1=CC2=CC=C(Br)C=C2C=C1,30.5069,LIQQRPRDWMYCPK-UHFFFAOYSA-N
alle_2012,BrC1=CC(CC2=C3C=CC=C2)=C3C=C1,30.58178,FXSCJZNMWILAJO-UHFFFAOYSA-N
alle_2013,FC1=C(Br)C=C(C#N)C=C1,31.86938,JKCYKISVUIVZCS-UHFFFAOYSA-N
alle_2014,BrC1=CN=C(C)C(C(C(OC(C)C)=O)OC(C)(C)C)=C1N2CCC(C)(C)CC2,35.95846,YYKKIEREDBNIRV-UHFFFAOYSA-N
alle_2017,CC1=NN(C(NCC2=CC=CC(C3=NC=CN3C)=C2)=CC(C(O)(C)C)=N4)C4=C1Br,31.34523,HKEQKXHVCGZIBR-UHFFFAOYSA-N
alle_10,Clc1cc(Br)ncn1,30.07879,AFMQGCFSFMXMLO-UHFFFAOYSA-N
alle_101,COC(=O)c1cccc(Br)c1,30.55736,KMFJVYMFCAIRAN-UHFFFAOYSA-N
alle_102,Brc1ccc2c(c1)OCCCO2,30.4776,AZCHNKNSOZJHSH-UHFFFAOYSA-N
alle_104,CCOC(=O)c1csc(Br)n1,30.0153,CNHISCQPKKGDPO-UHFFFAOYSA-N
alle_106,CC(=O)Nc1ccc(Br)cc1,30.5183,MSLICLMCQYQNPK-UHFFFAOYSA-N
alle_107,CC(C)c1ccccc1Br,35.40175,LECYCYNAEJDSIL-UHFFFAOYSA-N
alle_108,CCOc1ccccc1Br,32.39842,JVEQWIQHHWNMQX-UHFFFAOYSA-N
alle_109,NC(=S)Nc1ccc(Br)cc1,30.50853,MRVQULNOKCOGHC-UHFFFAOYSA-N
alle_11,COc1ccc(Br)cc1,30.489,QJPJQTDYNZXKQF-UHFFFAOYSA-N
alle_110,Brc1ccc2nccn2n1,30.26924,CFUOULAGZMUPNF-UHFFFAOYSA-N
alle_111,CC(=O)c1ccc(Br)cc1,30.68759,WYECURVXVYPVAT-UHFFFAOYSA-N
alle_112,CCOC(=O)c1cccc(Br)c1,30.51179,QAUASTLEZAPQTB-UHFFFAOYSA-N
alle_115,CC(C)Oc1ccc(Br)cc1,30.43039,MPAOOLLBWUEXOM-UHFFFAOYSA-N
alle_118,Fc1ccc(Br)c(F)c1,31.78962,MGHBDQZXPCTTIH-UHFFFAOYSA-N
alle_119,COc1ccc(C)cc1Br,32.39191,DHPUIKWBNXTXOB-UHFFFAOYSA-N
alle_12,Cc1cc(C)nc(Br)n1,29.50905,OUOPRQQOGBFPHV-UHFFFAOYSA-N
alle_120,COc1ccc(OC)c(Br)c1,32.40168,DWCGNRKFLRLWCJ-UHFFFAOYSA-N
alle_121,CCOc1ccc(Br)cc1,30.43528,WVUYYXUATWMVIT-UHFFFAOYSA-N
alle_122,CC(=O)c1cccc(Br)c1,30.52969,JYAQYXOVOHJRCS-UHFFFAOYSA-N
alle_124,Fc1cc(F)c(Br)cc1F,31.80915,DVTULTINXNWGJY-UHFFFAOYSA-N
alle_125,COc1ccc(Br)c(OC)c1,32.27959,NIUZVSQOXJIHBL-UHFFFAOYSA-N
alle_126,COC(=O)c1ccccc1Br,34.98014,SWGQITQOBPXVRC-UHFFFAOYSA-N
alle_127,CC(C)c1ccc(Br)cc1,30.52318,MOZHUOIQYVYEPN-UHFFFAOYSA-N
alle_128,Brc1cccnn1,30.1032,ILYSUJOMLYXAOC-UHFFFAOYSA-N
alle_129,CCOC(=O)c1ccc(Br)cc1,30.6355,XZIAFENWXIQIKR-UHFFFAOYSA-N
alle_130,Clc1ccc(Br)nc1,29.96484,BZUUVQCSPHPUQA-UHFFFAOYSA-N
alle_131,CCOC(=O)c1cnc(Br)nc1C,29.60835,YBFOJUWCXCEMTI-UHFFFAOYSA-N
alle_132,Clc1nccnc1Br,32.51074,OTZUKTGQTUYRCH-UHFFFAOYSA-N
alle_133,COC(=O)c1ccc(Br)nn1,30.20413,LKZGTZCGPJWPSU-UHFFFAOYSA-N
alle_134,Cn1nnnc1Br,31.43476,MPEZKCXHVQSKLO-UHFFFAOYSA-N
alle_135,O=c1nc(Br)[nH]c(=O)[nH]1,30.19599,IJMDENQRTJFJGF-UHFFFAOYSA-N
alle_136,COc1ccc(N(=O)=O)cc1Br,32.44075,JMUDXQVNBZCQRF-UHFFFAOYSA-N
alle_137,O=N(=O)c1cccc(Br)c1,30.60783,FWIROFMBWVMWLB-UHFFFAOYSA-N
alle_138,O=N(=O)c1ccc(Br)cc1,30.76898,ZDFBKZUDCQQKAC-UHFFFAOYSA-N
alle_139,Cn1cc(Br)cn1,29.70764,IXJSDKIJPVSPKF-UHFFFAOYSA-N
alle_14,Brc1n[nH]nc1c1ccccc1,33.58836,JHODODBNOMARQV-UHFFFAOYSA-N
alle_141,COc1ccc(Br)cn1,30.46946,XADICJHFELMBGX-UHFFFAOYSA-N
alle_142,Brc1nnco1,29.82647,KJKQOIBFCKHLHH-UHFFFAOYSA-N
alle_143,COC(=O)c1nccc(Br)n1,29.94531,WOCGLGITKPNEFI-UHFFFAOYSA-N
alle_145,COc1ncccc1Br,32.10379,PORGLLGXCAQORO-UHFFFAOYSA-N
alle_146,O=c1nc(Br)cc[nH]1,30.01856,XOHSNTLTQPMYPZ-UHFFFAOYSA-N
alle_147,Brc1cc[nH]n1,29.6409,XHZWFUVEKDDQPF-UHFFFAOYSA-N
alle_148,Fc1ccccc1Br,31.78799,IPWBFGUBXWMIPR-UHFFFAOYSA-N
alle_149,Cc1cc(Br)n(C)n1,31.92636,MGDIZQXZNAILTO-UHFFFAOYSA-N
alle_15,Cc1ncccc1Br,33.25303,AIPWPTPHMIYYOX-UHFFFAOYSA-N
alle_150,CCOC(=O)c1nnc(Br)o1,29.83299,PHHNZUKINCAFBC-UHFFFAOYSA-N
alle_152,N#Cc1ccc(Br)nc1,30.08367,XHYGUDGTUJPSNX-UHFFFAOYSA-N
alle_154,N#Cc1cccnc1Br,32.42772,QIPXEPRGYVAQFI-UHFFFAOYSA-N
alle_155,CC(C)(C)OC(=O)c1ccc(Br)cc1,30.64689,BFJJYXUCGYOXDM-UHFFFAOYSA-N
alle_156,C#Cc1cccc(Br)c1,30.63387,TZDXNFAAJNEYIO-UHFFFAOYSA-N
alle_157,CCOc1cccc(Br)c1,30.56876,LQBMPJSTUHWGDE-UHFFFAOYSA-N
alle_158,Cc1ccc(Br)cc1C,30.49062,QOGHRLGTXVMRLM-UHFFFAOYSA-N
alle_159,Cc1cc(Br)no1,29.75485,ICLAWFDDNFPOFQ-UHFFFAOYSA-N
alle_16,Clc1cncc(Br)n1,30.0153,UZAXEXBMDHIXNU-UHFFFAOYSA-N
alle_160,Clc1ncccc1Br,33.21233,HDYNIWBNWMFBDO-UHFFFAOYSA-N
alle_161,Cc1ccncc1Br,33.27093,GSQZOLXWFQQJHJ-UHFFFAOYSA-N
alle_162,Brc1ccccc1Oc1ccccc1,33.96764,RRWFUWRLNIZICP-UHFFFAOYSA-N
alle_163,Cc1ccc2nc(Br)sc2c1,30.1325,YZIAUJNTXKPDHI-UHFFFAOYSA-N
alle_165,Cc1ccc(Br)nc1,29.85578,YWNJQQNBJQUKME-UHFFFAOYSA-N
alle_166,COc1cccc2c(Br)ccnc12,33.51022,ZTCUNVSNCQDTQR-UHFFFAOYSA-N
alle_167,Cc1cccc(C)c1Br,36.91561,MYMYVYZLMUEVED-UHFFFAOYSA-N
alle_168,Brc1ccc(c2ccccc2)cc1,30.55574,PKJBWOWQJHHAHG-UHFFFAOYSA-N
alle_17,Clc1nccc(Br)n1,30.01042,FBEBVAQOMVWORE-UHFFFAOYSA-N
alle_171,Clc1cc(Br)ccn1,30.61434,ONHMWUXYIFULDO-UHFFFAOYSA-N
alle_173,Clc1cccnc1Br,32.50749,GOHBBINNYAWQGO-UHFFFAOYSA-N
alle_174,Brc1snc2ccccc12,31.46243,YCFSBJXGDKDEFM-UHFFFAOYSA-N
alle_175,CCOC(=O)c1ccccc1Br,34.9134,BIHHBTVQFPVSTE-UHFFFAOYSA-N
alle_176,Cc1cccc2sc(Br)nc12,30.08367,YDBIDZHRJCRSKR-UHFFFAOYSA-N
alle_177,Cc1ccc2[nH]c(Br)nc2c1,29.69299,JKSVPXYIGJVCNA-UHFFFAOYSA-N
alle_179,Cc1csc(Br)n1,29.97135,KLFWJAAGXUDNIS-UHFFFAOYSA-N
alle_18,Brc1nccs1,30.03484,RXNZFHIEDZEUQM-UHFFFAOYSA-N
alle_180,Clc1cccc(Br)n1,30.02995,JWTZSVLLPKTZJP-UHFFFAOYSA-N
alle_182,Cc1cncc(Br)c1,30.49062,ADCLTLQMVAEBLB-UHFFFAOYSA-N
alle_183,Fc1cc(Cl)cnc1Br,31.18245,PYDGFYYLQFJQBZ-UHFFFAOYSA-N
alle_185,Cc1ccc(Br)c(C)c1,33.43372,YSFLQVNTBBUKEA-UHFFFAOYSA-N
alle_187,COC(=O)c1cccnc1Br,34.00671,RAFFKXWNTXTTFO-UHFFFAOYSA-N
alle_189,Nc1ccccc1Br,33.68928,AOPBDRUWRLBSDB-UHFFFAOYSA-N
alle_19,Brc1nnns1,30.10809,JEJNZAOGTGBHKW-UHFFFAOYSA-N
alle_191,Fc1cccc(Br)c1F,31.85962,RKWWASUTWAFKHA-UHFFFAOYSA-N
alle_192,Brc1ccc2c(c1)CCC2,30.52318,UMEFRXDFDVRHMJ-UHFFFAOYSA-N
alle_193,Fc1cc(F)cc(Br)c1,30.70712,JHLKSIOJYMGSMB-UHFFFAOYSA-N
alle_194,Cc1ccc(Br)cc1F,30.58666,YZFVUQSAJMLFOZ-UHFFFAOYSA-N
alle_196,Cc1ccc(F)cc1Br,33.52162,SFGFOJPGCOYQJK-UHFFFAOYSA-N
alle_197,Cc1cc(C)cc(Br)c1,30.57527,LMFRTSBQRLSJHC-UHFFFAOYSA-N
alle_198,CCc1cccc(Br)c1,30.52644,ZRFJYAZQMFCUIX-UHFFFAOYSA-N
alle_199,Brc1ccnnc1,30.45318,BZJSAOCTEXRSME-UHFFFAOYSA-N
alle_200,CCn1cc(Br)cn1,29.70439,IPMSARLBJARXSC-UHFFFAOYSA-N
alle_201,Clc1cnc(Br)nc1,29.64579,QZOXTQMVQQUSCA-UHFFFAOYSA-N
alle_202,Brc1ccc2[nH]cnc2c1,30.59318,GEDVWGDBMPJNEV-UHFFFAOYSA-N
alle_203,Fc1cccc(F)c1Br,33.0463,HRZTZLCMURHWFY-UHFFFAOYSA-N
alle_204,COCc1ccccc1Br,33.673,QFAZLCRHLRJNAW-UHFFFAOYSA-N
alle_205,Fc1cccnc1Br,31.13687,IFGLECYAEGYLSJ-UHFFFAOYSA-N
alle_206,Cc1ccc(F)c(Br)c1,31.7766,QLRKALMVPCQTMU-UHFFFAOYSA-N
alle_207,COC(=O)c1cnc(Br)s1,30.11134,HNLVIKMXFBRZDF-UHFFFAOYSA-N
alle_208,Brc1ccc2[nH]ncc2c1,30.6062,STVHMYNPQCLUNJ-UHFFFAOYSA-N
alle_209,Brc1cccc2c[nH]nc12,31.34686,KMHHWCPTROQUFM-UHFFFAOYSA-N
alle_21,N#Cc1ccccc1Br,33.0756,AFMPMSCZPVNPEM-UHFFFAOYSA-N
alle_210,Fc1ccc(Br)nc1,29.90461,UODINHBLNPPDPD-UHFFFAOYSA-N
alle_211,Cn1ccc(Br)n1,29.57579,ZGEVJEQMVRIEPX-UHFFFAOYSA-N
alle_212,O=N(=O)c1ccccc1Br,34.63342,ORPVVAKYSXQCJI-UHFFFAOYSA-N
alle_213,N#Cc1ccnc(Br)c1,30.06088,AWSJFEKOXQBDSL-UHFFFAOYSA-N
alle_214,N#CCc1ccc(Br)cc1,30.57039,MFHFWRBXPQDZSA-UHFFFAOYSA-N
alle_215,Brc1nc(c2ccccc2)cs1,29.97949,WUZLTINVLOBXQS-UHFFFAOYSA-N
alle_216,CSc1ccc(Br)cc1,30.54109,YEUYZNNBXLMFCW-UHFFFAOYSA-N
alle_217,Brc1cncnc1,30.47272,GYCPLYCTMDTEPU-UHFFFAOYSA-N
alle_218,CCCc1ccccc1Br,33.94485,SRXJZMLETPOSSJ-UHFFFAOYSA-N
alle_219,COc1cc(Br)ccn1,30.56876,YFTGMMXMLPTTAY-UHFFFAOYSA-N
alle_22,N#Cc1cccc(Br)c1,30.64527,STXAVEHFKAXGOX-UHFFFAOYSA-N
alle_220,Cc1ccc(Br)cn1,30.48086,OFKWIQJLYCKDNY-UHFFFAOYSA-N
alle_221,Cc1ccc(Br)nn1,30.08855,RACIHBXDZONTQJ-UHFFFAOYSA-N
alle_222,CSc1ccccc1Br,34.35831,ALAQDUSTXPEHMH-UHFFFAOYSA-N
alle_223,CSc1cc(Br)ncn1,30.00391,GJXVKIMKTGWGSP-UHFFFAOYSA-N
alle_224,CC(C)c1cccc(Br)c1,30.54923,GBSGGFCCQZUXNB-UHFFFAOYSA-N
alle_225,Fc1cccc2sc(Br)nc12,30.19924,JLDVXRWNVDMWQO-UHFFFAOYSA-N
alle_226,Cc1nsc(Br)c1C#N,31.718,SKPLJEJAWCYGIA-UHFFFAOYSA-N
alle_227,N#Cc1ccc(Br)cn1,30.66968,DMSHUVBQFSNBBL-UHFFFAOYSA-N
alle_228,Cc1cc(C#N)ccc1Br,33.66487,SKXUZFJOLNNWIG-UHFFFAOYSA-N
alle_229,Cc1cnccc1Br,33.22698,GYUAOSJIGMDMNJ-UHFFFAOYSA-N
alle_23,Brc1cn[nH]c1,29.71741,WVGCPEDBFHEHEZ-UHFFFAOYSA-N
alle_230,Brc1ccnc2ccccc12,33.42232,SUXIPCHEUMEUSV-UHFFFAOYSA-N
alle_231,Brc1c[nH]c2ccccc12,30.72177,YHIWBVHIGCRVLE-UHFFFAOYSA-N
alle_232,Cc1cc(C)c(Br)c(C)c1,36.80167,RRTLQRYOJOSPEA-UHFFFAOYSA-N
alle_233,Brc1nc2c(s1)CCCC2,29.95182,ZOKVOUATOUMFEK-UHFFFAOYSA-N
alle_234,Brc1ccc2ccccc2c1,30.59643,APSMUYYLXZULMS-UHFFFAOYSA-N
alle_235,CCCCc1ccc(Br)cc1,30.47923,BRGVKVZXDWGJBX-UHFFFAOYSA-N
alle_236,Brc1ccccc1c1ccccc1,34.7376,KTADSLDAUJLZGL-UHFFFAOYSA-N
alle_237,NS(=O)(=O)c1ccc(Br)cc1,30.68922,STYQHICBPYRHQK-UHFFFAOYSA-N
alle_238,O=c1[nH]nc(Br)c(=O)[nH]1,31.36476,VNTFEWXYAOATFA-UHFFFAOYSA-N
alle_239,Cn1cc(Br)c(=O)n(C)c1=O,31.81567,QITOSXPGCRFMDG-UHFFFAOYSA-N
alle_24,Brc1ncc[nH]1,29.5823,AXHRGVJWDJDYPO-UHFFFAOYSA-N
alle_240,Brc1ncnc2nc[nH]c12,30.38156,CTGFGRDVWBZYNB-UHFFFAOYSA-N
alle_241,Cn1c(Br)cc(=O)n(C)c1=O,34.44947,XXZGZBJOMBOIJK-UHFFFAOYSA-N
alle_243,NC(=S)Nc1cccc(Br)c1,30.55574,XBRVSIPVHYWULW-UHFFFAOYSA-N
alle_244,O=c1cc(Br)[nH]c(=O)[nH]1,30.79828,YQJUVVITEPKZTL-UHFFFAOYSA-N
alle_245,COC(=O)Cc1cccc(Br)c1,30.56062,ULSSGHADTSRELG-UHFFFAOYSA-N
alle_246,CCOC(=O)c1ccc(Cl)nc1Br,34.12554,POZDNYGYJGFXMM-UHFFFAOYSA-N
alle_247,N#Cc1cc(Br)ccn1,30.59643,CZXDCTUSFIKLIJ-UHFFFAOYSA-N
alle_248,Cc1nnc(Br)c(C#N)c1C,32.54167,SGSZPSPKDRQWII-UHFFFAOYSA-N
alle_249,NC(=O)c1ccc(Br)cc1,30.59806,ZRWNRAJCPNLYAK-UHFFFAOYSA-N
alle_2,Brc1ccccc1,30.5476,QARVLSVVCXYDNA-UHFFFAOYSA-N
alle_25,Brc1cnccn1,30.00065,WGFCNCNTGOFBBF-UHFFFAOYSA-N
alle_250,Cc1cc(C)c(C#N)c(Br)n1,32.41796,BBLLODYBGYVNTH-UHFFFAOYSA-N
alle_251,CCOC(=O)c1sc(Br)nc1C,30.02832,CFBIOWPDDZPIDP-UHFFFAOYSA-N
alle_253,Brc1cccc2c1CCCC2,33.54441,WDNLCUAIHSXPBR-UHFFFAOYSA-N
alle_255,O=c1[nH]c2ccc(Br)cc2[nH]1,30.6355,VWIGEYVTDXNDHV-UHFFFAOYSA-N
alle_256,CCc1cccc(CC)c1Br,37.92649,FPWGIABDOFXETH-UHFFFAOYSA-N
alle_257,Fc1ccc(Br)c(F)c1F,31.82706,MUUAQFJJUGVBGB-UHFFFAOYSA-N
alle_258,CCOc1ccc(Br)cc1OCC,30.48086,HOUKULZGZUNDGI-UHFFFAOYSA-N
alle_259,Clc1cnc(Br)c(Cl)c1,32.52377,QCKPJWDIDCGQRB-UHFFFAOYSA-N
alle_26,Brc1nncs1,30.12437,DQBCRVIBTFHJLM-UHFFFAOYSA-N
alle_260,CCC(=O)c1ccc(Br)cc1,30.61759,UOMOSYFPKGQIKI-UHFFFAOYSA-N
alle_261,CCOC(=O)c1cc(Br)ncc1Cl,29.95833,CERNEAZUHJOWTG-UHFFFAOYSA-N
alle_262,Clc1cc(Br)nc(Cl)n1,30.11948,DQKJOXAJZKPHOH-UHFFFAOYSA-N
alle_263,CN(C)c1ccc(Br)cc1,30.39784,XYZWMVYYUIMRIZ-UHFFFAOYSA-N
